Id,Region,Product,Year,Sales,Profit,Quantity
6463,Central,Mouse,2022,2194.6,531.36,133
6464,Southwest,HardDrive,2022,3059.74,512.29,34
6465,Southwest,HardDrive,2022,13121.58,2859.92,24
6466,North,Keyboard,2021,3957.19,624.62,58
6467,Northeast,RAM,2020,4129.17,627.26,29
6468,Central,Printer,2023,19490.3,3425.19,26
6469,North,Mouse,2022,1442.48,319.25,115
6470,Northeast,Printer,2024,18435.69,4225.34,57
6471,Southeast,Modem,2022,2175.58,330.45,90
6472,East,Scanner,2023,4213.78,818.94,27
6473,South,Headphones,2024,1467.21,308.47,70
6474,South,SSD,2020,6376.1,1024.49,69
6475,Northeast,Phone,2022,6732.68,1089.01,46
6476,Northeast,GPU,2020,7020.24,1290.46,22
6477,Northwest,Keyboard,2023,2548.64,492.61,120
6478,Northwest,HardDrive,2023,6368.55,1485.88,32
6479,North,Camera,2021,14739.94,2886.92,80
6480,North,Phone,2022,19479.42,3116.01,42
6481,Central,Scanner,2022,5009.03,893.04,84
6482,East,Printer,2022,9166.29,1871.98,43
6483,Southeast,Keyboard,2020,7835.85,1852.35,82
6484,Central,Printer,2023,30977.41,5133.33,94
6485,Northwest,Speaker,2024,1782.82,314.87,58
6486,Southeast,CPU,2022,3548.98,736.21,59
6487,Southwest,Speaker,2024,3302.49,572.86,94
6488,East,Scanner,2024,8154.46,1633.45,91
6489,North,HardDrive,2021,12782.98,2733.77,81
6490,Southwest,Printer,2024,21983.51,4292.86,25
6491,Northeast,Camera,2022,8916.06,1839.3,88
6492,Northwest,Monitor,2023,12810.37,2653.86,29
6493,Northwest,Switch,2023,4213.77,1032.54,27
6494,South,CPU,2020,12299.27,2293.54,68
6495,Central,Tablet,2022,33131.54,6994.78,17
6496,Northwest,Switch,2024,5336.68,1252.43,87
6497,Northeast,Switch,2023,3509.93,535.67,67
6498,Southwest,Headphones,2024,6350.07,1575.0,174
6499,North,Scanner,2022,8835.95,2178.92,34
6500,Central,Mouse,2022,9037.29,2121.46,64
6501,East,Webcam,2020,6212.14,1160.76,56
6502,Central,GPU,2022,4403.54,1005.87,99
6503,Southeast,Speaker,2023,6865.74,1284.03,100
6504,West,HardDrive,2022,7967.1,1632.92,65
6505,Northeast,Speaker,2023,4543.97,1108.51,72
6506,West,Camera,2022,15167.04,2279.95,62
6507,North,CPU,2022,8208.41,1794.22,40
6508,Northwest,HardDrive,2021,11504.47,2525.83,38
6509,Northwest,Router,2024,3684.16,877.1,83
6510,North,RAM,2024,4100.41,969.07,74
6511,Southwest,Laptop,2021,23087.32,5335.38,44
6512,North,Phone,2023,23809.3,4300.51,44
6513,East,GPU,2022,6889.2,1065.2,81
6514,Southwest,Monitor,2023,17021.01,3396.93,59
6515,Northwest,SSD,2022,4669.96,750.08,56
6516,South,CPU,2020,8988.1,1959.72,94
6517,Northeast,Laptop,2023,12359.34,2071.34,12
6518,South,Router,2024,1612.39,340.71,87
6519,North,HardDrive,2024,12806.04,1989.38,25
6520,North,SSD,2020,7112.69,1671.46,59
6521,North,Tablet,2021,27535.59,4620.06,37
6522,East,Printer,2024,13215.59,1987.34,68
6523,Northeast,GPU,2024,4118.5,903.71,93
6524,Central,Switch,2022,1519.58,378.52,89
6525,East,RAM,2023,6925.94,1221.16,65
6526,Northeast,Monitor,2020,24811.46,5730.75,24
6527,North,Webcam,2024,5384.2,1173.74,94
6528,Central,Tablet,2021,34567.34,6187.83,22
6529,Southeast,Headphones,2023,4177.89,909.08,123
6530,East,SSD,2024,8035.43,1586.23,81
6531,West,Scanner,2024,6365.71,989.05,51
6532,North,Phone,2023,25867.15,5648.83,15
6533,Northwest,CPU,2021,3885.55,721.84,62
6534,Northeast,Headphones,2021,4177.28,879.87,121
6535,Central,SSD,2021,17086.2,3237.11,91
6536,Northwest,HardDrive,2024,7080.8,1685.01,87
6537,Central,GPU,2020,7383.27,1821.84,76
6538,East,SSD,2023,10617.53,2429.77,69
6539,South,Mouse,2022,1184.78,261.24,92
6540,Southwest,GPU,2023,6954.59,1564.33,32
6541,Northeast,HardDrive,2021,4215.8,653.53,22
6542,Central,Laptop,2022,13077.56,1972.03,16
6543,South,Tablet,2024,16736.44,3662.73,39
6544,North,Phone,2023,20118.46,4875.03,28
6545,Southwest,Camera,2022,12470.57,2596.92,67
6546,West,Keyboard,2020,1328.72,294.88,180
6547,Central,Webcam,2023,5871.4,1441.07,31
6548,West,HardDrive,2020,11701.39,2571.21,28
6549,Northwest,Printer,2024,9306.46,2281.1,66
6550,Southwest,Laptop,2023,12545.56,3065.78,55
6551,Northwest,Headphones,2023,2390.39,500.92,61
6552,South,Laptop,2020,34515.71,6176.33,20
6553,Southwest,Phone,2020,22727.29,3768.33,20
6554,Central,Laptop,2020,24126.48,4883.73,31
6555,Central,CPU,2023,10661.76,2575.4,60
6556,South,Printer,2021,17201.6,2651.5,55
6557,Northwest,Keyboard,2020,7542.68,1775.11,58
6558,Central,Speaker,2020,2147.17,482.33,28
6559,South,CPU,2022,15487.99,3708.22,100
6560,Southwest,Mouse,2021,4560.49,1040.0,120
6561,Northwest,HardDrive,2024,9399.44,2206.37,52
6562,Southeast,Speaker,2023,1992.38,368.58,54
6563,East,Phone,2022,21021.27,4744.76,34
6564,Central,SSD,2023,6024.12,1361.5,63
6565,Central,Monitor,2024,15861.61,3170.73,60
6566,South,Scanner,2024,6396.63,1021.63,27
6567,Northeast,RAM,2020,1570.85,341.06,62
6568,Northeast,HardDrive,2020,10315.59,2054.77,90
6569,Southwest,Speaker,2020,2776.82,496.97,58
6570,Central,Tablet,2024,20724.61,4660.38,41
6571,North,SSD,2024,4950.06,1162.3,28
6572,Northeast,Monitor,2021,22376.2,4828.62,59
6573,East,Switch,2024,3564.44,872.35,76
6574,North,Scanner,2021,3434.45,764.38,84
6575,South,Scanner,2021,1080.1,203.29,88
6576,South,Modem,2020,1400.13,220.91,53
6577,West,Switch,2022,5390.42,1170.63,48
6578,Northwest,Router,2023,5852.45,905.59,52
6579,South,Modem,2020,3318.14,762.02,75
6580,North,Keyboard,2023,4817.23,776.0,187
6581,North,Laptop,2023,28460.38,4778.55,28
6582,Northeast,Webcam,2023,3803.37,808.27,81
6583,Northwest,Mouse,2023,4263.67,932.92,90
6584,East,RAM,2021,3713.86,600.65,46
6585,North,CPU,2021,5644.3,1102.04,42
6586,Northeast,GPU,2023,10192.25,1959.79,79
6587,Central,Mouse,2024,7963.51,1330.37,61
6588,Northeast,CPU,2024,7697.38,1684.24,100
6589,Southwest,CPU,2024,9575.11,1605.14,41
6590,Northeast,Router,2021,1437.53,275.28,21
6591,Southeast,RAM,2020,2012.4,467.64,24
6592,South,Router,2021,6288.64,1354.43,50
6593,Northwest,Mouse,2021,4359.93,923.89,77
6594,Northeast,Monitor,2023,23914.29,5388.55,37
6595,Southwest,Tablet,2024,22636.32,5587.26,44
6596,Southwest,Headphones,2023,1213.55,225.69,146
6597,Southeast,HardDrive,2021,5593.66,1185.2,42
6598,Northeast,Printer,2022,6777.18,1690.34,22
6599,Southwest,GPU,2022,3246.41,668.48,79
6600,West,RAM,2023,1873.98,381.51,45
6601,Central,Monitor,2020,11870.54,2299.34,30
6602,Southeast,Scanner,2024,3679.46,907.97,50
6603,West,Laptop,2020,15856.43,2735.46,30
6604,Southwest,Laptop,2024,28210.69,6916.5,41
6605,North,Router,2022,7163.84,1564.04,80
6606,Northeast,GPU,2020,6780.19,1616.11,26
6607,Northeast,RAM,2021,1293.65,195.96,82
6608,Southeast,CPU,2020,5924.9,1140.81,67
6609,South,Headphones,2020,7828.15,1211.61,62
6610,South,GPU,2024,9831.96,1797.68,81
6611,West,RAM,2024,5878.12,1047.92,82
6612,Central,Laptop,2023,15915.86,3185.36,60
6613,North,Modem,2021,4443.62,748.21,67
6614,East,RAM,2022,1590.42,297.38,27
6615,South,Headphones,2022,2230.83,352.61,162
6616,Southeast,SSD,2023,14413.74,3278.65,21
6617,Northeast,Monitor,2021,29070.23,4710.44,43
6618,Central,Keyboard,2024,1406.13,223.94,124
6619,South,Tablet,2020,8493.34,1810.74,12
6620,Central,Webcam,2020,4402.0,926.05,47
6621,West,Tablet,2023,21556.43,3546.89,59
6622,Southwest,RAM,2024,5086.54,878.0,79
6623,West,Mouse,2024,2240.18,375.94,102
6624,North,Router,2020,4737.32,905.52,25
6625,Northwest,Keyboard,2021,3640.49,854.66,102
6626,Northwest,Headphones,2024,7045.41,1117.79,130
6627,Southeast,Keyboard,2024,3008.77,568.47,123
6628,West,Switch,2022,2944.02,544.63,44
6629,South,Scanner,2022,7949.22,1967.39,55
6630,Northeast,Switch,2024,6039.35,925.06,89
6631,Northeast,Monitor,2022,20712.63,4742.72,16
6632,Southeast,Modem,2024,5364.98,1275.47,49
6633,West,Mouse,2021,2106.17,348.71,103
6634,West,Camera,2024,21972.74,3821.76,92
6635,Southwest,Laptop,2021,15054.62,3351.58,52
6636,East,HardDrive,2020,6524.02,1486.31,51
6637,Southeast,Switch,2023,4306.84,847.29,83
6638,East,Router,2020,6680.96,1212.25,84
6639,Southwest,Switch,2021,4170.31,774.39,82
6640,West,SSD,2020,12480.55,3090.31,38
6641,West,Headphones,2020,5274.1,840.36,198
6642,Southeast,Phone,2022,19197.51,4090.81,39
6643,Northeast,Monitor,2024,17657.24,2654.2,42
6644,Southwest,Headphones,2023,4571.67,1136.15,94
6645,Southeast,Keyboard,2023,5919.9,1117.21,53
6646,Southwest,Router,2024,7054.39,1102.81,40
6647,Northwest,CPU,2020,8250.47,1372.41,41
6648,Southeast,Printer,2023,14806.32,2255.35,89
6649,South,Modem,2024,1987.83,354.92,98
6650,Northwest,GPU,2023,2713.77,418.27,27
6651,Southeast,Headphones,2022,5674.4,1201.73,138
6652,Central,Printer,2024,24134.94,3727.7,54
6653,Southeast,Camera,2021,12352.62,2836.06,89
6654,Southwest,Modem,2021,3410.09,545.6,28
6655,Southeast,Laptop,2023,22374.99,4284.86,13
6656,Northeast,GPU,2024,10705.68,1930.98,23
6657,Southeast,HardDrive,2024,3306.09,565.89,87
6658,East,Speaker,2021,4281.95,821.39,87
6659,Southeast,HardDrive,2020,8461.41,1337.15,60
6660,Northwest,RAM,2020,2893.36,561.2,29
6661,Central,Phone,2020,25492.58,4812.23,18
6662,Central,HardDrive,2024,14862.78,3303.41,51
6663,West,Monitor,2023,21910.04,3781.74,12
6664,Northeast,GPU,2023,9017.53,1381.51,59
6665,North,Modem,2024,4034.77,767.0,21
6666,South,Speaker,2023,4623.22,1142.18,37
6667,South,GPU,2024,15095.17,3263.88,74
6668,Northeast,Tablet,2022,19243.53,3465.18,26
6669,Northeast,RAM,2023,4018.71,848.0,93
6670,North,Modem,2021,2733.1,524.76,98
6671,Central,Mouse,2023,7133.01,1294.24,116
6672,South,Camera,2024,10688.28,2591.01,49
6673,Southeast,Switch,2024,4591.95,797.44,37
6674,West,RAM,2024,4858.71,804.18,52
6675,Southwest,SSD,2023,5870.56,1405.08,31
6676,North,Camera,2022,21323.42,3771.44,90
6677,North,RAM,2022,3167.84,768.54,59
6678,East,Switch,2021,4789.55,893.55,71
6679,North,Mouse,2020,2803.14,536.13,123
6680,Southwest,Mouse,2024,7021.01,1253.07,59
6681,South,Laptop,2020,25694.73,4862.03,52
6682,Northeast,Scanner,2022,3833.06,670.26,26
6683,South,HardDrive,2024,8559.82,1395.5,82
6684,Central,Phone,2020,17400.59,3852.64,31
6685,Southeast,CPU,2024,10561.53,2455.06,27
6686,Northwest,Headphones,2021,1747.26,331.43,152
6687,South,Mouse,2023,1614.83,351.83,153
6688,South,Monitor,2023,10656.27,2571.2,10
6689,East,Webcam,2020,1209.2,202.68,78
6690,Southwest,Printer,2021,15913.21,3415.55,72
6691,Northeast,Tablet,2023,16094.39,2928.99,22
6692,Central,HardDrive,2023,17789.52,2809.91,72
6693,North,Phone,2024,21400.06,5087.26,22
6694,Southeast,RAM,2023,3460.32,740.27,91
6695,Northwest,Speaker,2024,6037.84,1062.86,28
6696,Northeast,Speaker,2021,8132.93,1819.95,41
6697,West,Mouse,2020,4600.25,815.98,109
6698,North,Camera,2021,31990.28,6263.65,55
6699,Central,Scanner,2021,3597.23,890.41,95
6700,Central,Webcam,2023,6287.86,1520.99,83
6701,Central,Mouse,2022,6275.57,1022.59,150
6702,Central,GPU,2023,6869.28,1572.52,85
6703,West,Scanner,2020,5827.17,1113.03,100
6704,South,Laptop,2020,29518.68,6078.0,28
6705,East,GPU,2024,6124.28,1070.3,68
6706,Central,Tablet,2020,14665.95,2821.25,42
6707,Northeast,GPU,2023,4169.13,986.68,43
6708,Central,SSD,2024,4588.47,983.43,80
6709,South,Webcam,2024,6935.26,1223.73,64
6710,Southwest,Webcam,2020,5343.89,1213.37,56
6711,West,Printer,2022,6932.56,1363.91,23
6712,Southeast,Laptop,2023,25406.65,6199.2,25
6713,Northeast,GPU,2022,6196.91,1208.27,54
6714,Northeast,GPU,2020,9268.0,2030.59,35
6715,East,SSD,2021,4583.93,1051.62,43
6716,Southwest,Scanner,2021,1937.66,389.64,60
6717,Central,Printer,2023,27793.36,4773.26,79
6718,Northwest,Mouse,2023,1345.51,205.63,56
6719,Northeast,Laptop,2023,11227.07,1928.04,38
6720,Southwest,Phone,2022,9752.54,1789.31,19
6721,North,HardDrive,2024,12888.64,2885.39,25
6722,Northwest,SSD,2024,11776.8,2478.15,86
6723,Northwest,HardDrive,2022,5728.34,1232.61,99
6724,Southwest,Headphones,2023,5868.72,1356.12,126
6725,Northeast,Printer,2022,9036.79,2084.33,89
6726,West,SSD,2022,11368.06,2717.3,39
6727,Southeast,Phone,2023,10032.78,1522.83,36
6728,Northeast,Monitor,2022,28241.44,5122.03,40
6729,Central,Modem,2024,9745.92,1943.46,32
6730,Northeast,Speaker,2021,2809.05,441.21,77
6731,West,Keyboard,2021,5561.95,1109.67,148
6732,South,GPU,2023,5270.36,990.54,100
6733,North,Tablet,2020,10924.75,2497.28,20
6734,Northwest,SSD,2023,8031.94,1824.14,65
6735,Southeast,Modem,2020,5846.94,947.57,36
6736,Northeast,Camera,2024,7171.04,1638.99,44
6737,South,GPU,2020,9853.43,2352.13,69
6738,West,Phone,2024,20122.98,4843.33,53
6739,East,HardDrive,2022,16215.92,3056.38,43
6740,East,Router,2024,7084.82,1287.5,31
6741,South,Webcam,2021,6331.86,1452.03,88
6742,Northwest,Tablet,2020,20252.35,4258.24,56
6743,South,Scanner,2022,3350.12,592.19,34
6744,Southwest,Printer,2022,26008.18,5877.2,69
6745,East,Printer,2021,22731.95,5605.37,38
6746,Northwest,Modem,2020,7171.63,1688.0,49
6747,Southwest,SSD,2022,3071.82,478.83,34
6748,Southeast,Tablet,2022,10838.41,1754.29,11
6749,West,Keyboard,2024,4266.67,1065.48,172
6750,Northeast,CPU,2020,6613.62,1482.65,73
6751,Southwest,Keyboard,2024,4524.56,1008.16,146
6752,North,Keyboard,2022,1799.02,312.06,50
6753,South,Laptop,2021,22857.16,4210.67,34
6754,Central,Modem,2022,5626.0,1319.86,70
6755,Northeast,Modem,2021,5841.96,1251.86,81
6756,Central,Keyboard,2020,4143.54,836.85,55
6757,East,Camera,2021,7353.22,1321.35,74
6758,East,Monitor,2022,26073.47,6163.28,16
6759,Southwest,Speaker,2021,8368.89,1642.69,21
6760,Northeast,Headphones,2022,2262.94,339.46,175
6761,Southeast,Keyboard,2023,2161.47,337.71,197
6762,Southwest,Monitor,2022,9286.02,2190.22,13
6763,Southwest,Router,2020,4173.9,718.02,78
6764,North,Speaker,2024,1707.68,276.58,93
6765,Northwest,Modem,2024,4538.96,728.01,93
6766,Central,Switch,2023,1533.92,325.49,26
6767,Southeast,Modem,2022,5598.02,878.46,39
6768,East,GPU,2024,5964.66,1294.05,82
6769,Southeast,SSD,2022,13797.65,3241.78,89
6770,Southeast,SSD,2021,7432.56,1453.27,99
6771,Southwest,SSD,2023,11882.49,2966.15,77
6772,Central,SSD,2021,16518.32,3919.32,24
6773,Northwest,Keyboard,2022,2941.53,539.17,140
6774,North,Monitor,2021,17748.09,4184.81,56
6775,South,Keyboard,2022,4267.62,952.48,66
6776,Central,Laptop,2024,16940.8,2850.31,28
6777,Southwest,Scanner,2024,6569.62,1508.26,35
6778,West,Modem,2020,4608.15,717.0,55
6779,East,Headphones,2020,4759.07,908.18,110
6780,Northwest,RAM,2020,6521.04,1553.3,98
6781,South,Webcam,2020,5813.2,1284.23,68
6782,North,Laptop,2022,27327.35,4929.48,56
6783,Central,Scanner,2024,3496.12,645.77,89
6784,South,Speaker,2020,6717.16,1421.5,39
6785,Northwest,RAM,2024,1938.02,427.01,29
6786,East,Switch,2024,5393.37,1145.35,74
6787,North,Switch,2024,2037.94,475.37,59
6788,South,Switch,2023,7032.99,1127.27,79
6789,East,GPU,2022,6757.14,1290.09,80
6790,North,RAM,2020,4747.68,1065.4,64
6791,Southeast,Tablet,2022,7345.81,1577.54,41
6792,Northeast,HardDrive,2021,8430.17,1292.75,27
6793,West,Keyboard,2022,1564.56,316.03,155
6794,South,Modem,2022,6222.55,1204.19,39
6795,Central,GPU,2022,17208.99,3303.0,32
6796,Central,CPU,2022,14525.2,2441.9,66
6797,South,GPU,2024,3347.87,547.81,71
6798,West,Headphones,2022,6409.21,1591.61,163
6799,Northwest,HardDrive,2020,10516.27,1899.18,41
6800,Southwest,SSD,2021,6744.0,1513.04,67
6801,Central,Headphones,2022,3740.07,629.02,111
6802,Southeast,Laptop,2020,10687.83,2519.86,40
6803,Southwest,GPU,2022,4639.69,867.93,33
6804,West,GPU,2024,9786.43,2256.74,51
6805,East,Headphones,2023,3582.35,808.93,176
6806,West,Monitor,2023,19750.75,4573.9,19
6807,West,Tablet,2022,13734.88,2259.04,57
6808,West,CPU,2022,11314.76,2699.53,61
6809,Southwest,Phone,2024,4937.06,1178.22,33
6810,North,Laptop,2023,20960.54,3826.76,30
6811,Southeast,Mouse,2022,7075.9,1495.21,124
6812,North,HardDrive,2024,6751.35,1139.08,64
6813,Southeast,Modem,2021,4903.37,1094.7,77
6814,North,Switch,2021,7565.45,1792.2,79
6815,West,Router,2020,4327.18,801.42,37
6816,East,Switch,2021,6908.57,1524.54,30
6817,Southwest,Modem,2022,6412.74,1016.01,45
6818,East,Modem,2020,7091.06,1276.92,32
6819,Central,Modem,2023,4710.36,1107.49,89
6820,Southeast,Switch,2021,6652.25,1155.08,76
6821,Southeast,HardDrive,2020,9388.77,2167.67,62
6822,West,SSD,2021,12794.31,2623.8,29
6823,East,Tablet,2021,34346.4,6492.66,31
6824,Northwest,Webcam,2021,7174.41,1644.45,69
6825,Central,Scanner,2022,2186.46,399.62,69
6826,East,Phone,2021,5731.1,1362.15,23
6827,Central,Switch,2022,7547.93,1873.83,95
6828,Southwest,Monitor,2021,20399.65,3213.3,53
6829,Southwest,Mouse,2023,5545.03,1193.4,117
6830,Northeast,Keyboard,2020,4137.24,839.56,182
6831,East,GPU,2021,4215.6,1043.09,86
6832,Southwest,Laptop,2022,13310.61,2493.42,41
6833,South,Mouse,2021,4877.28,1040.8,142
6834,Southwest,GPU,2022,14847.24,3348.95,42
6835,Northeast,Mouse,2024,4073.97,640.97,104
6836,Northeast,Phone,2024,21517.87,4480.95,60
6837,North,RAM,2024,9048.12,2204.11,23
6838,Southeast,Keyboard,2020,965.32,172.05,94
6839,West,Router,2020,3104.03,594.11,23
6840,Southeast,Speaker,2024,6114.52,1076.81,54
6841,West,HardDrive,2021,5102.8,854.1,83
6842,Northwest,Switch,2021,5770.93,994.71,29
6843,South,SSD,2020,7746.44,1852.88,50
6844,North,CPU,2023,15961.83,2920.14,68
6845,Southeast,Printer,2021,8545.69,1757.11,24
6846,South,SSD,2023,7868.88,1651.2,49
6847,South,Monitor,2021,20808.5,4560.71,29
6848,Southwest,Laptop,2021,8289.36,1419.56,18
6849,South,HardDrive,2024,5022.71,1130.71,59
6850,East,Camera,2021,24506.91,4964.81,90
6851,South,Keyboard,2024,3899.92,650.02,156
6852,West,Laptop,2022,10799.91,1760.7,39
6853,East,Router,2020,6452.84,1034.34,93
6854,Northeast,Camera,2020,5150.08,1235.44,28
6855,Northwest,GPU,2021,6805.36,1290.95,41
6856,East,Headphones,2024,5742.96,985.11,164
6857,North,Phone,2020,28961.87,5966.22,15
6858,Central,Laptop,2020,20118.69,3797.43,55
6859,West,Router,2020,4564.66,1093.0,40
6860,North,Scanner,2022,1731.19,358.6,90
6861,North,Switch,2021,8227.55,1962.28,49
6862,West,Headphones,2022,1019.51,193.94,97
6863,Southwest,Tablet,2022,8297.52,1944.18,46
6864,Central,Router,2020,5715.53,1359.43,66
6865,South,Speaker,2020,2604.45,423.37,95
6866,Southwest,Modem,2021,1537.31,374.22,39
6867,Central,Laptop,2023,20290.49,4753.0,31
6868,Southwest,Switch,2022,2574.53,399.02,69
6869,West,SSD,2022,9604.16,1653.15,32
6870,Northeast,SSD,2020,11658.77,2676.16,58
6871,South,Router,2021,6670.63,1241.12,31
6872,Central,Switch,2024,3658.29,646.78,66
6873,North,Laptop,2021,30994.31,6611.47,33
6874,Northeast,SSD,2022,9909.15,1771.33,40
6875,North,Monitor,2024,14351.78,3465.75,11
6876,East,Headphones,2021,944.26,233.94,76
6877,Southeast,RAM,2024,974.33,147.69,96
6878,South,HardDrive,2022,3659.33,674.61,94
6879,East,Router,2023,5315.81,1223.92,55
6880,Southwest,Monitor,2023,24771.55,4075.83,50
6881,Southeast,Scanner,2021,6875.47,1327.85,74
6882,Southeast,RAM,2023,8073.48,1219.22,20
6883,Central,RAM,2023,2118.85,493.35,69
6884,Northeast,Camera,2022,19160.68,3440.02,52
6885,Central,Tablet,2023,14559.91,3031.44,38
6886,Central,Speaker,2021,1943.45,362.13,67
6887,Northeast,Laptop,2024,7878.67,1676.68,11
6888,Southwest,CPU,2022,7526.31,1861.92,74
6889,Central,Tablet,2023,15299.57,2605.71,50
6890,South,Mouse,2024,1286.79,314.03,116
6891,Northeast,Mouse,2024,1717.15,331.51,126
6892,Northwest,Mouse,2021,6744.83,1015.79,125
6893,South,HardDrive,2020,9047.3,1514.03,41
6894,Northeast,Speaker,2021,6396.13,1079.8,31
6895,Northwest,Switch,2021,2437.44,586.81,64
6896,Central,Keyboard,2023,4647.32,711.77,149
6897,West,Modem,2024,1173.27,240.45,90
6898,East,RAM,2020,4447.16,757.87,98
6899,Southwest,GPU,2020,3526.9,867.47,89
6900,East,CPU,2023,15021.28,2784.87,33
6901,East,Mouse,2023,3386.12,752.01,172
6902,Southwest,Printer,2023,24228.88,4560.88,62
6903,North,RAM,2022,4325.21,943.11,59
6904,West,CPU,2024,10373.06,2041.94,21
6905,East,SSD,2023,4478.13,905.02,100
6906,Northeast,Monitor,2022,15157.6,3574.65,30
6907,Northeast,Tablet,2020,13745.92,3334.07,56
6908,Southeast,Switch,2022,7582.07,1544.26,35
6909,Southeast,Mouse,2022,2417.7,412.26,60
6910,Northeast,Headphones,2020,4304.63,1028.62,188
6911,West,Mouse,2021,5998.39,1073.42,76
6912,Southwest,HardDrive,2023,9369.69,2057.63,28
6913,South,Laptop,2022,9706.84,2311.34,47
6914,Northwest,Mouse,2024,4263.48,764.54,128
6915,Northeast,Printer,2020,18865.39,4694.34,34
6916,Central,Camera,2024,25062.92,4939.46,90
6917,Central,Camera,2020,19236.19,3602.28,83
6918,Southwest,GPU,2022,13775.0,2927.09,92
6919,Southwest,Phone,2023,10550.7,2084.68,20
6920,Central,Camera,2023,7289.73,1721.63,98
6921,South,CPU,2020,8537.68,1933.6,33
6922,Central,Keyboard,2021,4011.15,959.78,151
6923,Southeast,Camera,2021,24730.38,4807.48,90
6924,South,Switch,2020,4459.25,948.6,94
6925,South,HardDrive,2020,6208.99,1046.89,50
6926,Southwest,Camera,2023,13449.45,2306.61,51
6927,Southeast,Mouse,2020,3037.33,615.22,117
6928,West,Scanner,2020,2297.19,499.4,35
6929,Southwest,RAM,2021,3676.59,591.44,56
6930,Northwest,Router,2021,1125.89,197.63,88
6931,Northwest,Camera,2022,12732.02,2959.96,61
6932,Northeast,Switch,2022,5036.04,1253.88,28
6933,South,Router,2024,5361.5,898.65,71
6934,West,HardDrive,2020,3108.67,667.47,97
6935,Central,Camera,2024,12607.9,2267.17,66
6936,Northwest,SSD,2020,8781.28,1697.92,86
6937,Southeast,Mouse,2022,1486.82,315.33,83
6938,Central,Scanner,2023,9455.17,1943.74,41
6939,Southwest,Keyboard,2023,2355.77,442.3,189
6940,Northwest,Headphones,2023,6742.76,1188.01,99
6941,South,SSD,2020,6328.53,1033.89,39
6942,West,SSD,2020,7218.98,1552.03,20
6943,Southeast,Camera,2022,19673.4,3110.18,56
6944,Northwest,Switch,2022,4924.12,973.64,91
6945,Southwest,RAM,2020,2834.86,687.69,80
6946,East,Phone,2023,21689.03,3416.44,32
6947,West,CPU,2021,9038.48,1839.27,24
6948,East,Keyboard,2021,4451.8,849.44,111
6949,West,SSD,2022,4500.73,888.25,86
6950,Northwest,Router,2020,2159.16,390.76,21
6951,Northwest,Phone,2023,12680.97,1992.12,31
6952,North,Camera,2024,9333.0,1901.16,42
6953,Southeast,SSD,2021,10101.99,1738.95,89
6954,Northeast,CPU,2021,4078.79,975.96,43
6955,Northwest,SSD,2020,6945.76,1283.83,95
6956,Northeast,Camera,2023,23239.31,3831.34,42
6957,North,Modem,2021,7169.43,1442.26,32
6958,South,Speaker,2023,8810.63,2054.16,40
6959,West,Mouse,2023,4908.0,767.87,197
6960,Central,Router,2023,1696.49,301.46,29
6961,East,RAM,2020,3055.32,490.44,40
6962,North,RAM,2021,8528.1,1522.24,77
6963,Central,SSD,2022,10913.36,2527.84,89
6964,Southeast,Switch,2020,5313.46,1223.68,36
6965,Northwest,Modem,2023,1220.34,301.94,44
6966,Northeast,Keyboard,2021,4196.68,990.34,62
6967,Southwest,Webcam,2023,2787.72,533.26,90
6968,Central,Camera,2023,23487.8,4095.53,51
6969,Northwest,Webcam,2023,6108.43,1441.98,54
6970,Northeast,Camera,2022,19455.72,4308.42,87
6971,Northeast,CPU,2021,14026.74,3456.94,84
6972,West,Switch,2020,5883.09,1428.9,85
6973,West,Modem,2022,3422.29,706.9,41
6974,West,GPU,2023,3197.0,565.44,61
6975,North,Phone,2022,21320.07,3330.7,17
6976,Northwest,SSD,2021,11807.96,2904.29,91
6977,Southeast,Keyboard,2023,6008.35,903.28,109
6978,Northwest,Switch,2021,6159.66,1103.66,48
6979,Southeast,Laptop,2022,14216.39,2260.44,20
6980,Southwest,GPU,2024,3011.0,564.66,60
6981,South,Laptop,2024,24403.9,3908.71,47
6982,Northwest,Laptop,2023,21089.39,4830.95,53
6983,South,Camera,2021,13609.78,2961.82,66
6984,Central,Phone,2022,7126.65,1739.24,33
6985,Northwest,Webcam,2022,3407.84,688.87,47
6986,East,RAM,2020,1202.94,260.59,20
6987,Northeast,Router,2020,4128.84,817.03,86
6988,Central,Monitor,2020,31591.47,7199.1,57
6989,Southwest,Router,2020,4618.07,1064.04,28
6990,Northeast,Headphones,2020,4209.59,640.21,92
6991,Central,Scanner,2022,4984.37,1097.75,31
6992,Southeast,Keyboard,2022,2384.65,522.35,149
6993,Northwest,Speaker,2023,3924.37,730.69,70
6994,North,Router,2024,2953.38,738.2,73
6995,North,Webcam,2021,3730.9,763.55,100
6996,Central,GPU,2024,12335.07,2315.5,26
6997,Southeast,Monitor,2024,23914.41,4824.8,12
6998,Central,Monitor,2022,31960.99,6133.43,24
6999,Central,SSD,2023,8471.62,1387.75,69
7000,South,CPU,2021,11243.8,2660.22,40
7001,West,Laptop,2024,29371.44,5270.14,14
7002,East,Keyboard,2021,3893.79,861.69,134
7003,Northwest,GPU,2024,10336.29,1592.74,43
7004,Northeast,Router,2023,7814.49,1762.78,82
7005,East,Camera,2020,19116.61,4666.65,64
